ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
14,$130-140k,2017,2017,TRUE,TRUE,1219921,27004.73137,12557,United States,01000US,united-states,0.008258474
21,$200k+,2017,2017,TRUE,TRUE,328359,13813.56326,3223,New York,04000US36,,0.035920163
20,$190-200k,2017,2017,TRUE,TRUE,17351,3230.907018,180,New York,04000US36,,0.001898077
2,$10-20k,2017,2017,TRUE,TRUE,19419097,100828.6429,174077,United States,01000US,united-states,0.131461058
3,$20-30k,2017,2017,TRUE,TRUE,21457270,105142.7427,190148,United States,01000US,united-states,0.145258836
19,$180-190k,2017,2017,TRUE,TRUE,35367,4608.208486,350,New York,04000US36,,0.003868901
4,$30-40k,2017,2017,TRUE,TRUE,19361189,100700.9127,177684,United States,01000US,united-states,0.131069039
5,$40-50k,2017,2017,TRUE,TRUE,15445707,91305.36526,147128,United States,01000US,united-states,0.104562482
18,$170-180k,2017,2017,TRUE,TRUE,40199,4911.626969,393,New York,04000US36,,0.004397488
6,$50-60k,2017,2017,TRUE,TRUE,12473792,82969.13568,121810,United States,01000US,united-states,0.084443571
7,$60-70k,2017,2017,TRUE,TRUE,9664187,73784.45297,94850,United States,01000US,united-states,0.065423446
17,$160-170k,2017,2017,TRUE,TRUE,49355,5439.572418,484,New York,04000US36,,0.00539909
8,$70-80k,2017,2017,TRUE,TRUE,6984904,63333.9177,69155,United States,01000US,united-states,0.04728556
9,$80-90k,2017,2017,TRUE,TRUE,5296939,55482.70357,53128,United States,01000US,united-states,0.035858578
16,$150-160k,2017,2017,TRUE,TRUE,99399,7698.244028,921,New York,04000US36,,0.010873551
10,$90-100k,2017,2017,TRUE,TRUE,3572079,45837.3748,36121,United States,01000US,united-states,0.024181829
11,$100-110k,2017,2017,TRUE,TRUE,3805887,47275.33869,38504,United States,01000US,united-states,0.025764634
15,$140-150k,2017,2017,TRUE,TRUE,66342,6300.679363,676,New York,04000US36,,0.007257348
12,$110-120k,2017,2017,TRUE,TRUE,1888638,33523.92721,19264,United States,01000US,united-states,0.012785473
13,$120-130k,2017,2017,TRUE,TRUE,2195301,36105.25743,22483,United States,01000US,united-states,0.014861484
14,$130-140k,2017,2017,TRUE,TRUE,94980,7527.016142,937,New York,04000US36,,0.010390143
1,< $10K,2017,2017,TRUE,TRUE,17420601,96240.3931,169617,United States,01000US,united-states,0.117931881
15,$140-150k,2017,2017,TRUE,TRUE,904007,23271.67625,9403,United States,01000US,united-states,0.006119837
13,$120-130k,2017,2017,TRUE,TRUE,166296,9920.396473,1638,New York,04000US36,,0.018191612
